p1,p2,theta1,theta2,log_t1,log_t2
10,0,1.96223,61.2697,0.674082,4.11528
10,1,1.96223,47.4684,0.674082,3.86006
10,2,1.96223,37.0308,0.674082,3.61175
10,3,1.96223,29.0859,0.674082,3.37025
10,4,1.96223,22.9987,0.674082,3.13544
10,5,1.96223,18.304,0.674082,2.90712
10,6,1.96223,14.6594,0.674082,2.68508
10,7,1.96223,11.8115,0.674082,2.46907
10,8,1.96223,9.57182,0.674082,2.25882
10,9,1.96223,7.79945,0.674082,2.05405
10,10,1.96223,6.38831,0.674082,1.85447
10,11,1.96223,5.25816,0.674082,1.65978
10,12,1.96223,4.34792,0.674082,1.4697
10,13,1.96223,3.61085,0.674082,1.28394
10,14,1.96223,3.01092,0.674082,1.10224
10,15,1.96223,2.52023,0.674082,0.924349
10,16,1.96223,2.11703,0.674082,0.750014
10,17,1.96223,1.78428,0.674082,0.579014
10,18,1.96223,1.50853,0.674082,0.411139
10,19,1.96223,1.27915,0.674082,0.246194
10,20,1.96223,1.08763,0.674082,0.0839986
11,0,1.64096,61.2697,0.495284,4.11528
11,1,1.64096,47.4684,0.495284,3.86006
11,2,1.64096,37.0308,0.495284,3.61175
11,3,1.64096,29.0859,0.495284,3.37025
11,4,1.64096,22.9987,0.495284,3.13544
11,5,1.64096,18.304,0.495284,2.90712
11,6,1.64096,14.6594,0.495284,2.68508
11,7,1.64096,11.8115,0.495284,2.46907
11,8,1.64096,9.57182,0.495284,2.25882
11,9,1.64096,7.79945,0.495284,2.05405
11,10,1.64096,6.38831,0.495284,1.85447
11,11,1.64096,5.25816,0.495284,1.65978
11,12,1.64096,4.34792,0.495284,1.4697
11,13,1.64096,3.61085,0.495284,1.28394
11,14,1.64096,3.01092,0.495284,1.10224
11,15,1.64096,2.52023,0.495284,0.924349
11,16,1.64096,2.11703,0.495284,0.750014
11,17,1.64096,1.78428,0.495284,0.579014
11,18,1.64096,1.50853,0.495284,0.411139
11,19,1.64096,1.27915,0.495284,0.246194
11,20,1.64096,1.08763,0.495284,0.0839986
12,0,1.3768,61.2697,0.319764,4.11528
12,1,1.3768,47.4684,0.319764,3.86006
12,2,1.3768,37.0308,0.319764,3.61175
12,3,1.3768,29.0859,0.319764,3.37025
12,4,1.3768,22.9987,0.319764,3.13544
12,5,1.3768,18.304,0.319764,2.90712
12,6,1.3768,14.6594,0.319764,2.68508
12,7,1.3768,11.8115,0.319764,2.46907
12,8,1.3768,9.57182,0.319764,2.25882
12,9,1.3768,7.79945,0.319764,2.05405
12,10,1.3768,6.38831,0.319764,1.85447
12,11,1.3768,5.25816,0.319764,1.65978
12,12,1.3768,4.34792,0.319764,1.4697
12,13,1.3768,3.61085,0.319764,1.28394
12,14,1.3768,3.01092,0.319764,1.10224
12,15,1.3768,2.52023,0.319764,0.924349
12,16,1.3768,2.11703,0.319764,0.750014
12,17,1.3768,1.78428,0.319764,0.579014
