mode,mult,TF_Recalc(10:20-80),TF_Recalc(5:20-80),TF_Recalc(10:50-50),TF_Recalc(5:50-50),DP_Calc,DP_Sim,TF_Static_Sim(20-80),TF_Static_Sim(50-50),OF_Static_Sim,Seed
Uniform,0.7,100.797,101.771,101.271,99.998,106.557,106.429,380,380,98.618,13
Uniform,0.8,103.392,103.394,103.025,103.401,109.277,109.238,420,420,103.998,13
Linear,0.6,105.955,103.251,103.465,102.766,123.6,122.755,320,320,98.6,13
Linear,0.7,129.629,128.176,125.221,125.31,143.895,144.622,380,380,116.812,13
Linear,0.8,150.406,149.221,143.803,138.913,167.976,168.001,440,440,129.42,13
Exp_Gentle,0.6,133.212,133.003,132.566,131.943,146.988,148.421,320,320,123.301,13
Exp_Gentle,0.7,142.087,142.943,140.247,140.639,156.779,156.527,380,380,131.809,13
Exp_Gentle,0.8,151.083,152.081,148.155,145.467,172.494,172.546,420,420,140.139,13
Exp_Steep,0.6,281.477,283.103,283.277,282.577,298.623,298.866,320,320,281.72,13
Exp_Steep,0.7,287.826,286.497,289.031,284.505,309.155,310.652,380,380,275.158,13
Exp_Steep,0.8,347.648,346.133,341.814,344.647,370.036,369.499,440,440,338.403,13
Concave,0.6,70.9885,71.456,71.9535,71.4135,79.411,79.1475,320,320,70.2625,13
Concave,0.7,76.4225,75.835,75.604,75.6835,82.7356,83.065,380,380,73.98,13
Concave,0.8,80.6415,81.3125,80.4135,80.3695,88.1604,89.2855,420,420,78.9975,13
Uniform,0.6,92.6325,91.9385,92.1805,93.131,97.9245,98.0545,320,320,89.655,14
Uniform,0.7,101.109,100.451,101.246,100.536,106.651,106.578,380,380,99.5605,14
Uniform,0.8,105.915,105.045,106.29,107.301,111.306,111.498,420,420,104.772,14
Linear,0.6,112.193,113.104,109.439,107.948,124.583,124.236,320,320,101.408,14
Linear,0.7,117.953,117.061,117.144,115.183,129.754,129.602,380,380,111.368,14
Linear,0.8,123.992,124.875,123.094,120.922,139.303,138.863,440,440,116.096,14
Exp_Gentle,0.6,151.059,151.71,145.913,146.171,168.538,166.811,320,320,135.388,14
Exp_Gentle,0.7,154.883,156.154,151.27,150.268,183.093,183.342,380,380,144.13,14
Exp_Gentle,0.8,143.744,146.751,142.617,142.611,176.548,176.523,420,420,138.072,14
Exp_Steep,0.6,290.57,290.673,289.669,290.225,307.348,307.664,320,320,290.24,14
Exp_Steep,0.7,289.885,295.35,294.767,294.072,311.776,311.965,360,360,287.78,14
Exp_Steep,0.8,271.197,274.732,267.156,268.062,301.755,301.677,440,440,258.96,14
Concave,0.6,69.43,69.7175,69.913,70.393,76.1932,76.6385,320,320,67.705,14
Concave,0.7,77.4665,77.429,76.6055,75.811,86.7857,86.62,380,380,75.185,14
Concave,0.8,78.454,78.564,78.4855,78.252,85.3499,85.7495,440,440,78.237,14
Uniform,0.6,87.7175,87.7,89.103,88.2555,93.6064,93.4105,300,300,85.82,15
Uniform,0.7,100.354,100.644,100.387,100.885,106.803,106.424,380,380,99.5475,15
Uniform,0.8,100.275,100.406,100.603,101.087,106.061,106.142,420,420,99.432,15
Linear,0.6,136.377,136.507,130.236,128.18,147.668,147.173,340,340,116.501,15
Linear,0.7,131.096,131.063,126.616,126.074,146.912,145.77,380,380,116.955,15
Linear,0.8,126.118,126.187,122.322,120.372,148.625,148.234,420,420,117.022,15
Exp_Gentle,0.6,130.885,130.175,129.46,129.003,150.635,150.004,320,320,125,15
Exp_Gentle,0.7,134.687,134.467,133.611,133.017,147.535,146.839,380,380,125.235,15
Exp_Gentle,0.8,144.544,143.419,141.243,138.212,162.713,162.187,420,420,132.312,15
Exp_Steep,0.6,259.263,258.285,259.823,257.243,280.372,279.061,320,320,256.152,15
